env_step,mean_return,std_return,best_return,updates_since_reset,resets_done,critic1_loss,critic2_loss,actor_loss,alpha_loss,alpha,q1_mean,q2_mean
5000,-118.78499603271484,73.00634002685547,-118.78499603271484,64016,0,3.2118447609245777,4.0203031823039055,37.87959814071655,0.03327751252800226,0.1908531171367575,-39.05026459693909,-39.036991119384766
10000,-97.06748962402344,48.233551025390625,-97.06748962402344,144016,0,3.175006315112114,4.045412331819534,29.077057600021362,-0.05521827004849911,0.10103335583785585,-29.522681951522827,-29.57445454597473
15000,-97.32611083984375,48.269596099853516,-97.06748962402344,224016,0,2.9001924991607666,3.3413196988403797,22.812329649925232,0.1033047828823328,0.08443183222863661,-23.110044240951538,-23.100290656089783
20000,-97.63691711425781,48.266109466552734,-97.06748962402344,304016,0,4.4729323126375675,5.860782824456692,21.644113659858704,0.11380691407248378,0.06798174693679712,-21.794442296028137,-21.769479036331177
25000,-96.88163757324219,48.01486587524414,-96.88163757324219,384016,0,3.4126720502972603,3.442738100886345,18.83884823322296,-0.023534544743597507,0.05865105441787785,-19.006859719753265,-19.00434523820877
30000,-96.93994140625,48.15026092529297,-96.88163757324219,464016,0,0.753117686137557,1.0393700823187828,18.179029643535614,0.12564560072496533,0.04905005577706675,-18.268300414085388,-18.270850896835327
